country,security_name,event_type,ticker_event,ticker_mapping,status,score,query_used,candidate_name,exchange,reason,ticker,price_fetch_status,rows,price_fetch_reason,diagnosis
India,ICICI LOMBARD GENL INS,inclusion,ICICIGI.NS,ICICIGI.NS,mapped_yahoo_search,0.9817,ICICI LOMBARD,ICICI LOMBARD GIC LIMITED,NSI,,ICICIGI.NS,downloaded,60.0,,mapped_and_priced
Indonesia,TOWER BERSAMA INFRA,deletion,TBIG.JK,TBIG.JK,mapped_manual_alias,1.0,manual_alias,,,,TBIG.JK,cached,932.0,,mapped_and_priced
Indonesia,BARITO PACIFIC,inclusion,BRPT.JK,BRPT.JK,mapped_manual_alias,1.0,manual_alias,,,,BRPT.JK,downloaded,67.0,,mapped_and_priced
Korea,DGB FINANCIAL HOLDINGS,deletion,,,no_country_candidate,,,,,No Yahoo quote matched the expected country suffix/exchange with sufficient name similarity.,,,,,name_search_unmapped
Korea,KT CORP,deletion,058850.KS,058850.KS,mapped_yahoo_search,0.7,KT CORP,KTcs,KSC,,058850.KS,downloaded,1418.0,,mapped_and_priced
Korea,MERITZ SECURITIES CO,inclusion,610047.KS,610047.KS,mapped_yahoo_search,0.7628,MERITZ,MERITZ INVERSE KTB 3Y ETN,KSC,,610047.KS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,BROOKFIELD PPTY REIT A,deletion,BPYU,BPYU,existing_repo_mapping,1.0,existing_repo_mapping,,,,BPYU,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,GOODYEAR TIRE & RUBBER,deletion,GT,GT,existing_repo_mapping,1.0,existing_repo_mapping,,,,GT,downloaded,65.0,,mapped_and_priced
USA,MATTEL,deletion,MAT,MAT,existing_repo_mapping,1.0,existing_repo_mapping,,,,MAT,downloaded,65.0,,mapped_and_priced
USA,UNITED THERAPEUTICS CORP,deletion,UTHR,UTHR,existing_repo_mapping,1.0,existing_repo_mapping,,,,UTHR,downloaded,65.0,,mapped_and_priced
USA,DOCUSIGN,inclusion,DOCU,DOCU,existing_repo_mapping,1.0,existing_repo_mapping,,,,DOCU,downloaded,65.0,,mapped_and_priced
USA,DROPBOX A,inclusion,DBX,DBX,existing_repo_mapping,1.0,existing_repo_mapping,,,,DBX,downloaded,1326.0,,mapped_and_priced
USA,EPAM SYSTEMS,inclusion,EPAM,EPAM,existing_repo_mapping,1.0,existing_repo_mapping,,,,EPAM,downloaded,1576.0,,mapped_and_priced
USA,EQUITY LIFESTYLE PPTYS,inclusion,ELS,ELS,existing_repo_mapping,1.0,existing_repo_mapping,,,,ELS,downloaded,65.0,,mapped_and_priced
USA,ERIE INDEMNITY CO A,inclusion,ERIE,ERIE,existing_repo_mapping,1.0,existing_repo_mapping,,,,ERIE,downloaded,65.0,,mapped_and_priced
USA,EXACT SCIENCES CORP,inclusion,EXAS,EXAS,existing_repo_mapping,1.0,existing_repo_mapping,,,,EXAS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,FACTSET RESEARCH SYSTEMS,inclusion,FDS,FDS,existing_repo_mapping,1.0,existing_repo_mapping,,,,FDS,downloaded,65.0,,mapped_and_priced
USA,HEICO CORP,inclusion,,,unsupported_country,,,,,No country suffix rules configured.,,,,,unsupported_country
USA,HEICO CORP A,inclusion,HEI.A,HEI.A,existing_repo_mapping,1.0,existing_repo_mapping,,,,HEI.A,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,IONIS PHARMACEUTICALS,inclusion,IONS,IONS,existing_repo_mapping,1.0,existing_repo_mapping,,,,IONS,downloaded,569.0,,mapped_and_priced
USA,MARKETAXESS HLDGS,inclusion,MKTX,MKTX,existing_repo_mapping,1.0,existing_repo_mapping,,,,MKTX,downloaded,1513.0,,mapped_and_priced
USA,MONGODB A,inclusion,MDB,MDB,existing_repo_mapping,1.0,existing_repo_mapping,,,,MDB,downloaded,65.0,,mapped_and_priced
USA,OKTA,inclusion,OKTA,OKTA,existing_repo_mapping,1.0,existing_repo_mapping,,,,OKTA,downloaded,65.0,,mapped_and_priced
USA,PAYCOM SOFTWARE,inclusion,PAYC,PAYC,existing_repo_mapping,1.0,existing_repo_mapping,,,,PAYC,downloaded,65.0,,mapped_and_priced
USA,PERKINELMER,inclusion,PKI,PKI,existing_repo_mapping,1.0,existing_repo_mapping,,,,PKI,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,SNAP A,inclusion,SNAP,SNAP,existing_repo_mapping,1.0,existing_repo_mapping,,,,SNAP,downloaded,65.0,,mapped_and_priced
USA,STERIS,inclusion,STE,STE,existing_repo_mapping,1.0,existing_repo_mapping,,,,STE,downloaded,65.0,,mapped_and_priced
USA,SUN COMMUNITIES,inclusion,SUI,SUI,existing_repo_mapping,1.0,existing_repo_mapping,,,,SUI,downloaded,65.0,,mapped_and_priced
USA,TWILIO A,inclusion,TWLO,TWLO,existing_repo_mapping,1.0,existing_repo_mapping,,,,TWLO,downloaded,65.0,,mapped_and_priced
USA,ULTIMATE SOFTWARE GROUP,inclusion,ULTI,ULTI,existing_repo_mapping,1.0,existing_repo_mapping,,,,ULTI,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,ZEBRA TECHNOLOGIES A,inclusion,ZBRA,ZBRA,existing_repo_mapping,1.0,existing_repo_mapping,,,,ZBRA,downloaded,65.0,,mapped_and_priced
India,HDFC LIFE INSURANCE CO,inclusion,HDFCLIFE.BO,HDFCLIFE.BO,mapped_yahoo_search,0.9944,HDFC LIFE INSURANCE CO,HDFC LIFE INSURANCE COMPANY LI,BSE,,HDFCLIFE.BO,downloaded,66.0,,mapped_and_priced
USA,CHEMOURS CO,deletion,CC,CC,existing_repo_mapping,1.0,existing_repo_mapping,,,,CC,downloaded,503.0,,mapped_and_priced
USA,COMMSCOPE HOLDING CO,deletion,COMM,,unsupported_country,,,,,No country suffix rules configured.,COMM,,,,unsupported_country
USA,ROKU A,inclusion,ROKU,ROKU,existing_repo_mapping,1.0,existing_repo_mapping,,,,ROKU,downloaded,1516.0,,mapped_and_priced
USA,SAREPTA THERAPEUTICS,inclusion,SRPT,SRPT,existing_repo_mapping,1.0,existing_repo_mapping,,,,SRPT,downloaded,509.0,,mapped_and_priced
India,GLENMARK PHARMACEUTICALS,deletion,GLENMARK.NS,GLENMARK.NS,mapped_yahoo_search,1.25,GLENMARK PHARMACEUTICALS,GLENMARK PHARMACEUTICALS,NSI,,GLENMARK.NS,downloaded,65.0,,mapped_and_priced
India,INDIABULLS HOUSING FIN,deletion,IBULLSLTD.NS,IBULLSLTD.NS,mapped_yahoo_search,0.8986,INDIABULLS,INDIABULLS LIMITED,NSI,,IBULLSLTD.NS,downloaded,65.0,,mapped_and_priced
India,VODAFONE IDEA,deletion,IDEA.NS,IDEA.NS,mapped_yahoo_search,1.0242,VODAFONE IDEA,VODAFONE IDEA LIMITED,NSI,,IDEA.NS,downloaded,1244.0,,mapped_and_priced
India,YES BANK,deletion,YESBANK.BO,YESBANK.BO,mapped_yahoo_search,0.9735,YES BANK,YES BANK LTD.,BSE,,YESBANK.BO,cached,319.0,,mapped_and_priced
India,BERGER PAINTS INDIA,inclusion,BERGEPAINT.NS,BERGEPAINT.NS,mapped_yahoo_search,1.0985,BERGER PAINTS INDIA,BERGER PAINTS (I) LTD,NSI,,BERGEPAINT.NS,downloaded,1181.0,,mapped_and_priced
India,COLGATE-PALMOLIVE INDIA,inclusion,COLPAL.NS,COLPAL.NS,mapped_yahoo_search,1.1,COLGATE-PALMOLIVE INDIA,COLGATE PALMOLIVE LTD.,NSI,,COLPAL.NS,downloaded,65.0,,mapped_and_priced
India,DLF,inclusion,DLF.BO,DLF.BO,mapped_yahoo_search,0.8167,DLF,DLF LTD.,BSE,,DLF.BO,downloaded,65.0,,mapped_and_priced
India,HDFC ASSET MANAGEMENT,inclusion,HDFCAMC.BO,HDFCAMC.BO,mapped_yahoo_search,0.9944,HDFC ASSET MANAGEMENT,HDFC Asset Management Company,BSE,,HDFCAMC.BO,downloaded,1000.0,,mapped_and_priced
India,ICICI PRUDENTIAL LIFE,inclusion,ICICIPRULI.BO,ICICIPRULI.BO,mapped_yahoo_search,0.9761,ICICI PRUDENTIAL LIFE,ICICI Prudential Life Insuranc,BSE,,ICICIPRULI.BO,downloaded,65.0,,mapped_and_priced
India,INFO EDGE (INDIA),inclusion,NAUKRI.NS,NAUKRI.NS,mapped_yahoo_search,1.05,INFO EDGE (INDIA),INFO EDGE (I) LTD,NSI,,NAUKRI.NS,downloaded,65.0,,mapped_and_priced
