strategy_family,country,event_type,strategy,n_trades_event,cumulative_net_return_event,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_annualized_net,max_drawdown_net_event,average_holding_days,turnover_event,return_basis,n_trades_daily,calendar_days,active_days,average_active_positions,cumulative_gross_return,cumulative_net_return_daily,average_daily_net_return,volatility_daily_net,sharpe_daily_net,hit_rate_daily_net,max_drawdown_net_daily,turnover_daily
buy_hold,Indonesia,deletion,buy_hold_announce_to_effective,30,5.287354218687417,0.06741078454488973,0.8,0.09682467637741221,2.6419498747175796,-0.14575660293100645,17.5,60.0,raw,30,2032,239,0.19242125984251968,1.455536729174887,1.3697336387718018,0.00048760837744161236,0.011125706575962098,0.695734960342865,0.05708661417322835,-0.28733880377314314,60.0
best_simple_timing,Indonesia,deletion,announce_d-1_to_d+1,30,3.6791595866583062,0.05378152429886473,0.9,0.045701395530010236,11.975760798170356,-0.1005917953177291,2.433333333333333,60.0,raw,30,2021,53,0.04403760514596734,1.3893314091737539,1.3062476653133963,0.0004277260769722472,0.005404225626624155,1.2564133037125764,0.013854527461652647,-0.0975125265241884,60.0
confirmed_flow_momentum,USA,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,51,1.1629527560828405,0.016726828591052425,0.6078431372549019,0.05555615919016496,2.0810887966906537,-0.2024068511556426,5.2745098039215685,102.0,raw,51,2220,127,0.10135135135135136,0.6212190048864565,0.5333005623938993,0.00021220298823823063,0.00628053146623578,0.5363587499192498,0.02702702702702703,-0.13053614513905332,102.0
developed_low_vol_deletion,Indonesia,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,26,2.600141388842848,0.05144922256166437,0.9230769230769231,0.044454817844427404,11.802571803091542,-0.1005917953177291,2.423076923076923,52.0,raw,26,2021,53,0.03809995051954478,1.4027652606621497,1.3192155152922318,0.0004300433803632688,0.005310616000739471,1.285486848138525,0.013854527461652647,-0.0975125265241884,52.0
