return_basis,country,event_type,strategy,n_trades,calendar_days,active_days,average_active_positions,cumulative_gross_return,cumulative_net_return,average_daily_net_return,volatility_daily_net,sharpe_daily_net,hit_rate_daily_net,max_drawdown_net,turnover
raw,Indonesia,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,26,2021,53,0.0380999505195447,1.4027652606621497,1.3192155152922318,0.0004300433803632,0.0053106160007394,1.285486848138525,0.0138545274616526,-0.0975125265241884,52.0
raw,Indonesia,deletion,announce_d-1_to_d+1,30,2021,53,0.0440376051459673,1.389331409173754,1.3062476653133963,0.0004277260769722,0.0054042256266241,1.2564133037125764,0.0138545274616526,-0.0975125265241884,60.0
raw,India,deletion,announce_d+0_to_d+5,32,2154,96,0.0835654596100278,0.7579533334249899,0.6993930939012476,0.0002540911460821,0.0039967911439671,1.0092025707545724,0.0232126276694521,-0.0730298798400769,64.0
raw,Indonesia,deletion,effective_d-3_to_d+0,30,2022,70,0.0583580613254203,0.9322961704932262,0.8647765194806807,0.0003215279645323,0.00522457482603,0.9769403965281378,0.0178041543026706,-0.0735164606003667,60.0
raw,Korea,deletion,announce_to_effective_legacy,78,2099,316,0.5097665555026203,1.566099864661111,1.4513303681616572,0.0004589235229065,0.0079676387372784,0.9143468114793936,0.0819437827536922,-0.1239288002751238,156.0
raw,Korea,deletion,buy_hold_announce_to_effective,78,2099,316,0.5097665555026203,1.566099864661111,1.4513303681616572,0.0004589235229065,0.0079676387372784,0.9143468114793936,0.0819437827536922,-0.1239288002751238,156.0
raw,Indonesia,inclusion,announce_to_effective_legacy,19,2032,182,0.1230314960629921,2.159139651771273,2.0729462558365097,0.0006168371207197,0.0118763699609354,0.8244931538301824,0.0472440944881889,-0.2357004992026814,38.0
raw,Indonesia,inclusion,buy_hold_announce_to_effective,19,2032,182,0.1230314960629921,2.159139651771273,2.0729462558365097,0.0006168371207197,0.0118763699609354,0.8244931538301824,0.0472440944881889,-0.2357004992026814,38.0
raw,USA,inclusion,announce_d+0_to_d+3,170,2219,112,0.3064443442992339,0.6401275447360304,0.5510169039102255,0.0002064779109182,0.0042120891097296,0.7781732854455304,0.0225326723749436,-0.059533458130092,340.0
raw,USA,inclusion,announce_d-1_to_d+1,170,2218,84,0.229936880072137,0.5668905950572631,0.4819845909691485,0.0001843247456292,0.003766991395618,0.7767643504216011,0.0175834084761046,-0.0517668057820754,340.0
