strategy,anchor,entry_offset,exit_offset,event_id,country,event_type,change_type,security_name,ticker,side,signal_bucket,announce_date,effective_date,entry_target_date,exit_target_date,entry_date,exit_date,entry_px,exit_px,security_return,gross_return,net_return,transaction_cost_bps,holding_days,turnover,benchmark_ticker,beta_lookback_days,estimated_beta,benchmark_return,beta_hedged_gross_return,beta_hedged_net_return,beta_hedge_turnover,beta_hedge_round_trip_cost,beta_hedge_available,expected_flow_proxy,factor_neutral_flow_score,flow_rank_pct,pre_effective_runup,momentum_20d,volatility_20d,dollar_adv20
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,1,India,inclusion,ADD,GRASIM INDUSTRIES,GRASIM.NS,-1.0,short_high_flow,2017-02-09,2017-02-28,2017-03-01,2017-03-07,2017-03-01,2017-03-07,737.3310546875,737.6242065429688,0.0003975851194726321,-0.0003975851194726321,-0.002397585119472632,10.0,6,2.0,^NSEI,60,1.3977048956354827,0.00012302823241405747,-0.00022562795672612397,-0.0050210377479970895,4.7954097912709654,0.004795409791270966,True,0.49869706051622814,-0.7695032326276547,0.5,0.04483653629083206,0.11839012087963119,0.023461728849457526,2005225374.6289306
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,2,USA,inclusion,PROMOTION,ADVANCED MICRO DEVICES,AMD,-1.0,short_high_flow,2017-02-09,2017-02-28,2017-03-01,2017-03-07,2017-03-01,2017-03-07,14.960000038146973,13.050000190734863,-0.1276737862661591,0.1276737862661591,0.1256737862661591,10.0,6,2.0,SPY,60,,,,,,,False,21.398418528980383,-0.024253814605828594,1.0,0.13263783329744627,0.46576663230557536,0.04942350258922106,1004116441.8601513
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,194,USA,inclusion,ADD,ROLLINS,ROL,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,17.03302001953125,16.992977142333984,-0.0023508970899670523,0.0023508970899670523,0.0003508970899670522,10.0,6,2.0,SPY,60,,,,,,,False,341.1907120216138,0.026146446448702343,0.5263157894736842,0.035976466373015104,0.08684172571568816,0.008564999225553382,23295882.575451136
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,216,USA,inclusion,ADD,ZIONS BANCORP,ZIONP,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,16.161026000976562,16.18581771850586,0.0015340435395498897,-0.0015340435395498897,-0.0035340435395498897,10.0,6,2.0,SPY,60,,,,,,,False,29738.89905100019,0.031199872355922142,0.5789473684210527,-0.008585471242983589,-0.003038138147813396,0.004314027675993133,33625.99261946678
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,160,USA,inclusion,ADD,LEIDOS HOLDINGS,LDOS,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,49.35722351074219,48.74430084228515,-0.012418094553548809,0.012418094553548809,0.010418094553548808,10.0,6,2.0,SPY,60,,,,,,,False,106.18494784399708,0.0504171881316669,0.631578947368421,0.03882576445185815,0.02332093002160396,0.013489965288345583,56365515.20105362
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,59,Korea,inclusion,ADD,DOOSAN BOBCAT,241560.KS,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,28443.701171875,28443.701171875,0.0,-0.0,-0.002,10.0,6,2.0,^KS11,60,0.5880481231623862,0.006623610939443747,0.003895001981497745,0.0007189057351729726,3.1760962463247724,0.0031760962463247724,True,0.09564082941639541,0.056047695424324306,0.6842105263157895,-0.04780371755102397,-0.03785912372283917,0.01534513727831011,10455785526.976757
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,77,Korea,inclusion,PROMOTION,MEDY-TOX,086900.KQ,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,409665.90625,428020.84375,0.044804649886580616,-0.044804649886580616,-0.04680464988658062,10.0,6,2.0,^KS11,60,0.6164555164825883,0.006623610939443747,-0.0407214883839261,-0.04395439941689128,3.232911032965177,0.003232911032965177,True,0.06328182769858183,0.11617385313135964,0.7368421052631579,-0.045575318564071265,-0.019890800257160834,0.014828993775428111,15802324875.367188
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,205,USA,inclusion,ADD,STEEL DYNAMICS,STLD,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,28.702898025512695,28.37681770324707,-0.011360536555430345,0.011360536555430345,0.009360536555430345,10.0,6,2.0,SPY,60,,,,,,,False,50.60253194821755,0.17727672892924187,0.7894736842105263,-0.007814646435333916,-0.03923746502477754,0.017794337340045215,83864432.0266819
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,83,Korea,inclusion,ADD,PANOCEAN,028670.KS,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,4650.39697265625,4693.29736328125,0.009225102905676463,-0.009225102905676463,-0.011225102905676463,10.0,6,2.0,^KS11,60,-0.02596736086240968,0.006623610939443747,-0.009397100601153204,-0.011449035322878023,2.051934721724819,0.0020519347217248193,True,0.05576266101412661,0.2002097005505017,0.8421052631578947,0.017374761914126458,0.027290595605443002,0.024629578593403145,17933147052.409595
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,204,USA,inclusion,ADD,SS&C TECHNOLOGIES HLDGS,SSNC,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,34.75435256958008,35.13827133178711,0.01104663830058139,-0.01104663830058139,-0.01304663830058139,10.0,6,2.0,SPY,60,,,,,,,False,187.06871933644058,0.24668353920763536,0.8947368421052632,0.0033098573856367164,0.023634223954680955,0.012622570569333599,44252794.49220657
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,129,USA,inclusion,ADD,EAST WEST BANCORP,EWBC,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,45.18463516235352,44.72407913208008,-0.010192757529603025,0.010192757529603025,0.008192757529603025,10.0,6,2.0,SPY,60,,,,,,,False,135.18022687411877,0.2577406563904138,0.9473684210526315,-0.012977599514032878,-0.009406800665806125,0.01424023993648512,46078269.41072464
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,101,USA,inclusion,ADD,ARISTA NETWORKS,ANET,-1.0,short_high_flow,2017-05-15,2017-05-31,2017-06-01,2017-06-07,2017-06-01,2017-06-07,9.282500267028809,9.753125190734863,0.050700232713992044,-0.050700232713992044,-0.052700232713992046,10.0,6,2.0,SPY,60,,,,,,,False,91.97501168599727,0.26503035428385446,1.0,-0.0013566473390741463,0.04648854766430288,0.013879847228637842,123440763.69941711
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,353,USA,inclusion,ADD,OWENS CORNING,OC,-1.0,short_high_flow,2017-11-13,2017-11-30,2017-12-01,2017-12-07,2017-12-01,2017-12-07,76.73641204833984,76.90271759033203,0.0021672311429863367,-0.0021672311429863367,-0.004167231142986337,10.0,6,2.0,SPY,60,,,,,,,False,70.75978769930093,0.0653158714434866,0.5333333333333333,0.07408764166196335,0.08331281012721048,0.010432423124167587,86111141.4598465
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,356,USA,inclusion,ADD,SPIRIT AEROSYSTEMS A,SPR,-1.0,short_high_flow,2017-11-13,2017-11-30,2017-12-01,2017-12-07,2017-12-01,2017-12-07,81.66175079345703,82.83299255371094,0.014342599183506,-0.014342599183506,-0.016342599183506,10.0,6,2.0,SPY,60,,,,,,,False,116.99350550512445,0.24708076048529637,0.6,0.04062312789913025,0.010772047899411774,0.013886279063292314,80689942.94747353
flow_neutral_reversal_short_top50_effective_d+1_to_d+5,effective,1,5,321,USA,inclusion,PROMOTION,ALNYLAM PHARMACEUTICALS,ALNY,-1.0,short_high_flow,2017-11-13,2017-11-30,2017-12-01,2017-12-07,2017-12-01,2017-12-07,137.30999755859375,128.72999572753906,-0.06248635921352619,0.06248635921352619,0.060486359213526186,10.0,6,2.0,SPY,60,,,,,,,False,92.71600569852554,0.25617317400027506,0.6666666666666666,-0.007512982852742378,-0.0407964450755538,0.03399552377486154,186578372.50724792
