event_id,event_month,country,event_type,change_type,security_name,ticker,side,announce_date,effective_date,volatility_20d,dollar_adv20,entry_target_date,exit_target_date,entry_date,exit_date,entry_px,exit_px,security_return,gross_return,net_return,transaction_cost_bps,holding_days,turnover,benchmark_ticker,beta_lookback_days,estimated_beta,benchmark_return,beta_hedged_gross_return,beta_hedged_net_return,beta_hedge_turnover,beta_hedge_round_trip_cost,beta_hedge_available,basket_size,low_vol_rank_pct,liquidity_rank_pct,tradable_filter
12,2017-05,India,deletion,DEMOTION,DIVI'S LABORATORIES,DIVISLAB.NS,-1.0,2017-05-15,2017-05-31,0.009215201427894969,481592052.5335388,2017-05-12,2017-05-16,2017-05-12,2017-05-16,584.892333984375,581.71484375,-0.005432607079544849,0.005432607079544849,0.003432607079544849,10.0,4,2.0,^NSEI,60,0.539223649846036,0.01184456857835059,0.011819478579214728,0.008741031279522657,3.0784472996920718,0.0030784472996920717,True,1,1.0,1.0,True
110,2017-05,USA,deletion,DEL,CALPINE CORP,CPN,-1.0,2017-05-15,2017-05-31,0.06459102305479816,92731105.29481792,2017-05-12,2017-05-16,2017-05-12,2017-05-16,12.380000114440918,12.399999618530272,0.001615468812962595,-0.001615468812962595,-0.003615468812962595,10.0,4,2.0,SPY,60,,,,,,,False,3,0.3333333333333333,1.0,True
130,2017-05,USA,deletion,DEL,EDGEWELL PERSONAL CARE,EPC,-1.0,2017-05-15,2017-05-31,0.016016521375077013,39278928.567276,2017-05-12,2017-05-16,2017-05-12,2017-05-16,66.12100982666016,65.47348022460938,-0.00979309910342141,0.00979309910342141,0.00779309910342141,10.0,4,2.0,SPY,60,,,,,,,False,3,1.0,0.6666666666666666,True
163,2017-05,USA,deletion,DEL,LIBERTY LILAC C,LILAK,-1.0,2017-05-15,2017-05-31,0.03377948357833404,28306661.572719,2017-05-12,2017-05-16,2017-05-12,2017-05-16,19.30320167541504,19.915254592895508,0.03170732647216723,-0.03170732647216723,-0.03370732647216723,10.0,4,2.0,SPY,60,,,,,,,False,3,0.6666666666666666,0.3333333333333333,True
218,2017-08,Korea,deletion,DEL,LG UPLUS,032640.KS,-1.0,2017-08-10,2017-08-31,0.016911818007027582,11467779085.538233,2017-08-09,2017-08-11,2017-08-09,2017-08-11,11068.0322265625,10245.638671875,-0.07430350200045621,0.07430350200045621,0.07230350200045621,10.0,2,2.0,^KS11,60,0.6484433797118582,-0.020554019333207885,0.06097538423736802,0.057678497477944304,3.2968867594237166,0.003296886759423717,True,1,1.0,1.0,True
221,2017-11,India,deletion,DEMOTION,APOLLO HOSPITALS,APOLLOHOSP.NS,-1.0,2017-11-13,2017-11-30,0.008105603216381006,236016121.93253785,2017-11-10,2017-11-14,2017-11-10,2017-11-14,975.5864868164062,961.63916015625,-0.014296350809111735,0.014296350809111735,0.012296350809111735,10.0,4,2.0,^NSEI,60,0.5959273212639676,-0.01309374772930949,0.006493428799478172,0.0033015741569502365,3.191854642527935,0.0031918546425279354,True,1,1.0,1.0,True
253,2017-11,Indonesia,deletion,DEMOTION,LIPPO KARAWACI TBK,LPKR.JK,-1.0,2017-11-13,2017-11-30,0.012534874737993711,35633350339.95384,2017-11-10,2017-11-14,2017-11-10,2017-11-14,507.738037109375,476.25042724609375,-0.06201546380599077,0.06201546380599077,0.060015463805990765,10.0,4,2.0,^JKSE,60,0.3386450277739838,-0.005569094985171108,0.060129517480061546,0.05745222742451358,2.6772900555479677,0.002677290055547968,True,3,1.0,1.0,True
255,2017-11,Indonesia,deletion,DEMOTION,MEDIA NUSANTARA CITRA,MNCN.JK,-1.0,2017-11-13,2017-11-30,0.02984853229006981,24675230698.85132,2017-11-10,2017-11-14,2017-11-10,2017-11-14,1574.1348876953125,1378.560546875,-0.12424242823729836,0.12424242823729836,0.12224242823729836,10.0,4,2.0,^JKSE,60,0.038592960796447855,-0.005569094985171108,0.12402750037286396,0.12195031445127107,2.077185921592896,0.002077185921592896,True,3,0.3333333333333333,0.6666666666666666,True
258,2017-11,Indonesia,deletion,DEMOTION,SUMMARECON AGUNG,SMRA.JK,-1.0,2017-11-13,2017-11-30,0.017543974771038223,12663345228.556635,2017-11-10,2017-11-14,2017-11-10,2017-11-14,872.3645629882812,810.369140625,-0.0710659568184615,0.0710659568184615,0.0690659568184615,10.0,4,2.0,^JKSE,60,1.4801394561653831,-0.005569094985171108,0.06282291959577697,0.05786264068344621,4.960278912330766,0.004960278912330766,True,3,0.6666666666666666,0.3333333333333333,True
332,2017-11,USA,deletion,DEL,BED BATH & BEYOND,BBBY,-1.0,2017-11-13,2017-11-30,0.11259577317788337,162766708.43444824,2017-11-10,2017-11-14,2017-11-10,2017-11-14,53.150001525878906,50.25,-0.0545625859383444,0.0545625859383444,0.0525625859383444,10.0,4,2.0,SPY,60,,,,,,,False,8,0.125,1.0,True
339,2017-11,USA,deletion,DEL,CORE LABORATORIES,CLB,-1.0,2017-11-13,2017-11-30,0.011699248101000969,59739135.82977295,2017-11-10,2017-11-14,2017-11-10,2017-11-14,98.10789489746094,94.32878112792967,-0.03851997612914915,0.03851997612914915,0.036519976129149145,10.0,4,2.0,SPY,60,,,,,,,False,8,1.0,0.375,True
340,2017-11,USA,deletion,DEL,DEXCOM,DXCM,-1.0,2017-11-13,2017-11-30,0.02516735703274368,87845164.84775543,2017-11-10,2017-11-14,2017-11-10,2017-11-14,12.6850004196167,12.887499809265137,0.015963688052803127,-0.015963688052803127,-0.01796368805280313,10.0,4,2.0,SPY,60,,,,,,,False,8,0.5,0.75,True
341,2017-11,USA,deletion,DEL,DICKS SPORTING GOODS,DKS,-1.0,2017-11-13,2017-11-30,0.025178252091172817,64893049.41013336,2017-11-10,2017-11-14,2017-11-10,2017-11-14,20.956987380981445,19.973529815673828,-0.04692743033285929,0.04692743033285929,0.044927430332859286,10.0,4,2.0,SPY,60,,,,,,,False,8,0.375,0.5,True
348,2017-11,USA,deletion,DEL,MEDNAX,MD,-1.0,2017-11-13,2017-11-30,0.026237021779058897,76713275.79059601,2017-11-10,2017-11-14,2017-11-10,2017-11-14,44.470001220703125,46.31999969482422,0.04160104392486108,-0.04160104392486108,-0.04360104392486108,10.0,4,2.0,SPY,60,,,,,,,False,8,0.25,0.625,True
