strategy,anchor,entry_offset,exit_offset,event_id,country,event_type,change_type,security_name,ticker,side,signal_bucket,announce_date,effective_date,entry_target_date,exit_target_date,entry_date,exit_date,entry_px,exit_px,security_return,gross_return,net_return,transaction_cost_bps,holding_days,turnover,benchmark_ticker,beta_lookback_days,estimated_beta,benchmark_return,beta_hedged_gross_return,beta_hedged_net_return,beta_hedge_turnover,beta_hedge_round_trip_cost,beta_hedge_available,volatility_20d,dollar_adv20,basket_size,low_vol_rank_pct,liquidity_rank_pct
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,12,India,deletion,DEMOTION,DIVI'S LABORATORIES,DIVISLAB.NS,-1.0,lower_volatility_deletion_half,2017-05-15,2017-05-31,2017-05-12,2017-05-16,2017-05-12,2017-05-16,584.892333984375,581.71484375,-0.005432607079544849,0.005432607079544849,0.003432607079544849,10.0,4,2.0,^NSEI,60,0.539223649846036,0.01184456857835059,0.011819478579214728,0.008741031279522657,3.0784472996920718,0.0030784472996920717,True,0.009215201427894969,481592052.5335388,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,163,USA,deletion,DEL,LIBERTY LILAC C,LILAK,-1.0,lower_volatility_deletion_half,2017-05-15,2017-05-31,2017-05-12,2017-05-16,2017-05-12,2017-05-16,19.30320167541504,19.915254592895508,0.03170732647216723,-0.03170732647216723,-0.03370732647216723,10.0,4,2.0,SPY,60,,,,,,,False,0.03377948357833404,28306661.572719,3,0.6666666666666666,0.3333333333333333
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,130,USA,deletion,DEL,EDGEWELL PERSONAL CARE,EPC,-1.0,lower_volatility_deletion_half,2017-05-15,2017-05-31,2017-05-12,2017-05-16,2017-05-12,2017-05-16,66.12100982666016,65.47348022460938,-0.00979309910342141,0.00979309910342141,0.00779309910342141,10.0,4,2.0,SPY,60,,,,,,,False,0.016016521375077013,39278928.567276,3,1.0,0.6666666666666666
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,218,Korea,deletion,DEL,LG UPLUS,032640.KS,-1.0,lower_volatility_deletion_half,2017-08-10,2017-08-31,2017-08-09,2017-08-11,2017-08-09,2017-08-11,11068.0322265625,10245.638671875,-0.07430350200045621,0.07430350200045621,0.07230350200045621,10.0,2,2.0,^KS11,60,0.6484433797118582,-0.020554019333207885,0.06097538423736802,0.057678497477944304,3.2968867594237166,0.003296886759423717,True,0.016911818007027582,11467779085.538233,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,221,India,deletion,DEMOTION,APOLLO HOSPITALS,APOLLOHOSP.NS,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,975.5864868164062,961.63916015625,-0.014296350809111735,0.014296350809111735,0.012296350809111735,10.0,4,2.0,^NSEI,60,0.5959273212639676,-0.01309374772930949,0.006493428799478172,0.0033015741569502365,3.191854642527935,0.0031918546425279354,True,0.008105603216381006,236016121.93253785,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,258,Indonesia,deletion,DEMOTION,SUMMARECON AGUNG,SMRA.JK,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,872.3645629882812,810.369140625,-0.0710659568184615,0.0710659568184615,0.0690659568184615,10.0,4,2.0,^JKSE,60,1.4801394561653831,-0.005569094985171108,0.06282291959577697,0.05786264068344621,4.960278912330766,0.004960278912330766,True,0.017543974771038223,12663345228.556635,3,0.6666666666666666,0.3333333333333333
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,253,Indonesia,deletion,DEMOTION,LIPPO KARAWACI TBK,LPKR.JK,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,507.738037109375,476.25042724609375,-0.06201546380599077,0.06201546380599077,0.060015463805990765,10.0,4,2.0,^JKSE,60,0.3386450277739838,-0.005569094985171108,0.060129517480061546,0.05745222742451358,2.6772900555479677,0.002677290055547968,True,0.012534874737993711,35633350339.95384,3,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,340,USA,deletion,DEL,DEXCOM,DXCM,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,12.6850004196167,12.887499809265137,0.015963688052803127,-0.015963688052803127,-0.01796368805280313,10.0,4,2.0,SPY,60,,,,,,,False,0.02516735703274368,87845164.84775543,8,0.5,0.75
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,350,USA,deletion,DEL,NAVIENT CORP,NAVI,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,8.31216812133789,8.407475471496582,0.011466003666844804,-0.011466003666844804,-0.013466003666844804,10.0,4,2.0,SPY,60,,,,,,,False,0.02487889232497734,32617811.898784637,8,0.625,0.125
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,349,USA,deletion,DEL,MURPHY OIL CORP,MUR,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,22.018810272216797,20.99872398376465,-0.046327947597572416,0.046327947597572416,0.044327947597572415,10.0,4,2.0,SPY,60,,,,,,,False,0.022114512094813455,57202934.47628021,8,0.75,0.25
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,355,USA,deletion,DEL,SIGNET JEWELERS (US),SIG,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,59.64370346069336,60.99138641357422,0.022595561219115323,-0.022595561219115323,-0.024595561219115325,10.0,4,2.0,SPY,60,,,,,,,False,0.021486236542408232,91422589.98085022,8,0.875,0.875
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,339,USA,deletion,DEL,CORE LABORATORIES,CLB,-1.0,lower_volatility_deletion_half,2017-11-13,2017-11-30,2017-11-10,2017-11-14,2017-11-10,2017-11-14,98.10789489746094,94.32878112792967,-0.03851997612914915,0.03851997612914915,0.036519976129149145,10.0,4,2.0,SPY,60,,,,,,,False,0.011699248101000969,59739135.82977295,8,1.0,0.375
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,393,India,deletion,DEL,POWER FINANCE CORP,PFC.NS,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,41.87099838256836,38.61127471923828,-0.07785158676051918,0.07785158676051918,0.07585158676051917,10.0,4,2.0,^NSEI,60,1.4689908199390123,-0.0004303327279877589,0.07721943193358585,0.07228145029370783,4.937981639878025,0.004937981639878025,True,0.016118409465860333,219072714.13005447,4,0.5,0.25
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,376,India,deletion,DEMOTION,IDFC BANK,IDFCFIRSTB.NS,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,42.8662109375,40.03450012207031,-0.0660592749743707,0.0660592749743707,0.0640592749743707,10.0,4,2.0,^NSEI,60,1.1199824014881923,-0.0004303327279877589,0.06557730989224,0.06133734508926362,4.239964802976385,0.004239964802976385,True,0.011698659112461611,315002083.4294254,4,0.75,0.5
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,363,India,deletion,DEL,ACC,ACC.NS,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,1346.744140625,1296.3291015625,-0.037434756567125915,0.037434756567125915,0.035434756567125913,10.0,4,2.0,^NSEI,60,0.9713973524784041,-0.0004303327279877589,0.0370167324944738,0.03307393778951699,3.942794704956808,0.0039427947049568085,True,0.011453756805305427,440027321.2210022,4,1.0,0.75
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,407,Indonesia,deletion,DEL,XL AXIATA TBK,EXCL.JK,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,1652.46337890625,1464.2081298828125,-0.11392400668391323,0.11392400668391323,0.11192400668391322,10.0,4,2.0,^JKSE,60,0.8944722218461676,-0.019929355014495553,0.09609775222413633,0.092308807780444,3.788944443692335,0.0037889444436923357,True,0.04187647053895366,11955244224.6875,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,421,Korea,deletion,DEMOTION,HYUNDAI WIA CORP,011210.KS,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,47199.23046875,46225.1328125,-0.02063799868294336,0.02063799868294336,0.018637998682943357,10.0,4,2.0,^KS11,60,-0.2583669246923418,-0.0077369515307379455,0.02263697105643383,0.020120237207049144,2.516733849384684,0.002516733849384684,True,0.01565541251688417,7490595818.44375,3,0.6666666666666666,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,419,Korea,deletion,DEMOTION,HANWHA TECHWIN CO,000370.KS,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,6658.25927734375,6611.50146484375,-0.007022528044094645,0.007022528044094645,0.005022528044094645,10.0,4,2.0,^KS11,60,0.46468953108421834,-0.0077369515307379455,0.0034272476652547033,0.000497868603086267,2.9293790621684366,0.0029293790621684364,True,0.01388840583466433,2055745214.254541,3,1.0,0.3333333333333333
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,525,USA,deletion,DEL,RANGE RESOURCES CORP,RRC,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,13.534296989440918,14.007854461669922,0.03498943998335924,-0.03498943998335924,-0.03698943998335924,10.0,4,2.0,SPY,60,,,,,,,False,0.023439010755242837,86822494.79952812,6,0.5,0.8333333333333334
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,532,USA,deletion,DEL,SPECTRUM BRANDS,SPB,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,60.0665168762207,59.60759735107422,-0.007640188727643049,0.007640188727643049,0.005640188727643049,10.0,4,2.0,SPY,60,,,,,,,False,0.023338618448051202,37482317.851392366,6,0.6666666666666666,0.16666666666666666
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,463,USA,deletion,DEMOTION,AUTONATION,AN,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,46.02000045776367,46.11000061035156,0.001955674743430169,-0.001955674743430169,-0.003955674743430169,10.0,4,2.0,SPY,60,,,,,,,False,0.01009444665707155,50637101.27819061,6,0.8333333333333334,0.5
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,471,USA,deletion,DEMOTION,BRIXMOR PROPERTY GROUP,BRX,-1.0,lower_volatility_deletion_half,2018-05-14,2018-05-31,2018-05-11,2018-05-15,2018-05-11,2018-05-15,9.9332275390625,9.619621276855469,-0.03157143647155691,0.03157143647155691,0.02957143647155691,10.0,4,2.0,SPY,60,,,,,,,False,0.00921285252567498,39523478.45633507,6,1.0,0.3333333333333333
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,540,Indonesia,deletion,DEMOTION,AKR CORPORINDO,AKRA.JK,-1.0,lower_volatility_deletion_half,2018-08-13,2018-08-31,2018-08-10,2018-08-14,2018-08-10,2018-08-14,549.6318359375,521.3134155273438,-0.05152252573189087,0.05152252573189087,0.049522525731890865,10.0,4,2.0,^JKSE,60,0.9368851301687582,-0.05056624390871001,0.004147763725333917,0.0002739934649964005,3.8737702603375164,0.003873770260337516,True,0.01391022624961478,21795778610.90393,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,549,India,deletion,DEL,BHARAT HEAVY ELECTRICALS,BHEL.BO,-1.0,lower_volatility_deletion_half,2018-11-13,2018-11-30,2018-11-12,2018-11-14,2018-11-12,2018-11-14,65.55291748046875,62.984073638916016,-0.039187330484842464,0.039187330484842464,0.03718733048484246,10.0,2,2.0,^NSEI,60,1.1681629874483006,0.008977085690185627,0.04967402972326909,0.04533770374837249,4.336325974896601,0.004336325974896601,True,0.026917368541289354,71897557.85478668,1,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,601,Indonesia,deletion,DEMOTION,MATAHARI DEPARTMENT,LPPF.JK,-1.0,lower_volatility_deletion_half,2018-11-13,2018-11-30,2018-11-12,2018-11-14,2018-11-12,2018-11-14,2402.269287109375,2296.286865234375,-0.04411762762971816,0.04411762762971816,0.04211762762971816,10.0,2,2.0,^JKSE,60,1.4947709145572836,0.014062488774579274,0.06513782683624755,0.060148285007132984,4.989541829114567,0.004989541829114567,True,0.05151245760989398,38994618296.41846,2,0.5,0.5
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,608,Indonesia,deletion,DEMOTION,WASKITA KARYA PERSERO,WSKT.JK,-1.0,lower_volatility_deletion_half,2018-11-13,2018-11-30,2018-11-12,2018-11-14,2018-11-12,2018-11-14,1443.5634765625,1353.04296875,-0.06270628848829907,0.06270628848829907,0.060706288488299065,10.0,2,2.0,^JKSE,60,1.3132863459878634,0.014062488774579274,0.08117436298656162,0.0765477902945859,4.626572691975727,0.004626572691975727,True,0.032309270642939876,48440913895.92102,2,1.0,1.0
developed_low_vol_deletion_announce_d-1_to_d+1,announce,-1,1,622,Korea,deletion,DEMOTION,DOOSAN HEAVY INDUSTRIES,131970.KQ,-1.0,lower_volatility_deletion_half,2018-11-13,2018-11-30,2018-11-12,2018-11-14,2018-11-12,2018-11-14,11294.525390625,11342.7939453125,0.0042736239919887176,-0.0042736239919887176,-0.006273623991988718,10.0,2,2.0,^KS11,60,2.0198564690783836,-0.005955419491586067,-0.016302716578144333,-0.0223424295163011,6.039712938156767,0.006039712938156768,True,0.04053036118594903,1288155334.898047,4,0.5,0.25
